Game name,Critic Score,User Score
ys origin,76,8.3
grim dawn,83,8.4
trackmania² canyon,N/A,N/A
final fantasy iii (3d remake),N/A,N/A
scribblenauts unmasked: a dc comics adventure,68,6.1
shovel knight: treasure trove,N/A,7.7
a hat in time,79,8.7
cuphead,88,8.3
darkwood,80,8.3
tabletop simulator,N/A,8.0
rimworld,87,8.9
momodora iii,N/A,7.7
sniper elite 4,78,7.4
styx: shards of darkness,72,7.7
final fantasy x/x-2 hd remaster,83,8.1
dragon's dogma: dark arisen,81,8.0
kartkraft™,N/A,N/A
steins;gate,87,8.8
expeditions: viking,74,8.1
battle chasers: nightwar,78,7.4
the letter - horror visual novel,N/A,N/A
regalia: of men and monarchs,73,7.8
troubleshooter: abandoned children,N/A,8.6
vampire: the masquerade® - bloodlines™ 2,N/A,N/A
dying light 2 stay human,77,4.3
world of final fantasy®,77,7.7
life is strange: before the storm,77,8.0
danganronpa another episode: ultra despair girls,N/A,8.2
pillars of eternity ii: deadfire,88,7.8
lobotomy corporation | monster management simulation,N/A,8.1
ys viii: lacrimosa of dana,69,7.9
okami hd,92,7.7
dead cells,89,8.1
devil may cry 5,89,8.6
griftlands,84,7.2
greedfall,72,7.5
fort triumph,74,7.3
stoneshard,N/A,N/A
the surge 2,76,6.3
they are billions,77,6.8
return of the obra dinn,89,8.5
super fancy pants adventure,N/A,8.2
bugsnax,72,7.3
code vein,72,7.6
outriders,73,5.7
trine 4: the nightmare prince,81,8.0
ash of gods: redemption,65,7.9
bloodstained: ritual of the night,83,8.3
fell seal: arbiter's mark,82,7.3
cultist simulator,71,6.9
tales of vesperia: definitive edition,80,8.0
tales of arise,84,8.4
scarlet nexus,78,7.7
total war: three kingdoms,85,7.6
valkyria chronicles 4 complete edition,N/A,tbd
ni no kuni wrath of the white witch™ remastered,82,7.6
steamworld quest: hand of gilgamech,N/A,7.1
sekiro™: shadows die twice - goty edition,N/A,N/A
tower hunter: erza's trial,N/A,N/A
dicey dungeons,80,7.9
songs of conquest,N/A,N/A
digimon survive,83,7.3
total war: rome remastered,75,5.4
the caligula effect: overdose,N/A,6.5
god eater 3,71,6.5
back 4 blood,77,4.8
blood card,N/A,N/A
life is strange: true colors,81,6.7
resident evil 3,77,5.9
bright memory,N/A,6.1
skater xl - the ultimate skateboarding game,N/A,N/A
gordian quest,84,8.2
hogwarts legacy,N/A,N/A
banner of the maid,69,8.2
ring of pain,74,7.2
hollow knight: silksong,N/A,N/A
trials of fire,81,6.9
atelier lulua ~the scion of arland~,79,7.6
langrisser i &amp; ii,N/A,N/A
baldur's gate 3,N/A,N/A
marvel's guardians of the galaxy,78,8.6
cyberpunk 2077,86,7.0
solasta: crown of the magister,77,7.4
war mongrels,65,4.4
gemcraft - frostborn wrath,N/A,N/A
mortal shell,76,6.3
atelier ryza: ever darkness &amp; the secret hideout,N/A,N/A
curse of the dead gods,78,7.3
king's bounty ii,63,5.0
sherlock holmes chapter one,77,7.2
ghostrunner,81,8.2
ready or not,N/A,10
necronator: dead wrong,66,tbd
hades,93,8.8
utawarerumono: prelude to the fallen,N/A,8.8
king arthur: knight's tale,76,7.8
star wars jedi: fallen order™,81,7.9
red dead redemption 2,93,6.5
pathfinder: wrath of the righteous,83,7.7
tainted grail: conquest,82,7.2
coromon,73,7.8
partisans 1941,74,7.3
elden ring,94,7.0
rogue legacy 2,88,7.7
atelier ryza 2: lost legends &amp; the secret fairy,N/A,N/A
the lord of the rings: gollum™,N/A,N/A
fights in tight spaces,78,7.4
disciples: liberation,72,4.6
the medium,75,7.0
you and me and her: a love story,N/A,8.8
dragon quest® xi s: echoes of an elusive age™ - definitive edition,N/A,N/A
cult of the lamb,83,7.8
nioh 2 – the complete edition,86,7.0
stray,83,8.5
thymesia,69,7.5
persona® 5 strikers,76,6.5
shin megami tensei iii nocturne hd remaster,79,7.2
corpse factory,80,tbd
bravely default ii,83,7.4
ai: the somnium files - nirvana initiative,N/A,N/A
ghostwire: tokyo,77,9.2
atelier sophie: the alchemist of the mysterious book dx,N/A,tbd
atelier firis: the alchemist and the mysterious journey dx,N/A,tbd
wartales,N/A,N/A
the quarry,79,5.5
god of war,93,8.5
gnosia,N/A,7.8
s.t.a.l.k.e.r. 2: heart of chornobyl,N/A,N/A
hero's hour,77,5.3
uncharted™: legacy of thieves collection,N/A,N/A
the legend of heroes: trails from zero,N/A,N/A
the legend of heroes: trails into reverie,N/A,N/A
rune factory 5,74,tbd
